player,player_id,team,season,lg,replaced,full_team_name
Carmelo Anthony,anthoca01,East,2014,NBA,FALSE,Los Angeles Lakers
Chris Bosh,boshch01,East,2014,NBA,FALSE,Miami Heat
DeMar DeRozan,derozde01,East,2014,NBA,FALSE,Sacramento Kings
Paul George,georgpa01,East,2014,NBA,FALSE,Philadelphia 76ers
Roy Hibbert,hibbero01,East,2014,NBA,FALSE,
Kyrie Irving,irvinky01,East,2014,NBA,FALSE,Dallas Mavericks
LeBron James,jamesle01,East,2014,NBA,FALSE,Los Angeles Lakers
Joe Johnson,johnsjo02,East,2014,NBA,FALSE,Boston Celtics
Paul Millsap,millspa01,East,2014,NBA,FALSE,
Joakim Noah,noahjo01,East,2014,NBA,FALSE,Los Angeles Clippers
Dwyane Wade,wadedw01,East,2014,NBA,FALSE,Miami Heat
John Wall,walljo01,East,2014,NBA,FALSE,Los Angeles Clippers
LaMarcus Aldridge,aldrila01,West,2014,NBA,FALSE,Brooklyn Nets
Kobe Bryant,bryanko01,West,2014,NBA,TRUE,Los Angeles Lakers
Stephen Curry,curryst01,West,2014,NBA,FALSE,Golden State Warriors
Anthony Davis,davisan02,West,2014,NBA,FALSE,Dallas Mavericks
Kevin Durant,duranke01,West,2014,NBA,FALSE,Houston Rockets
Blake Griffin,griffbl01,West,2014,NBA,FALSE,Boston Celtics
James Harden,hardeja01,West,2014,NBA,FALSE,Los Angeles Clippers
Dwight Howard,howardw01,West,2014,NBA,FALSE,Los Angeles Lakers
Damian Lillard,lillada01,West,2014,NBA,FALSE,Milwaukee Bucks
Kevin Love,loveke01,West,2014,NBA,FALSE,Utah Jazz
Dirk Nowitzki,nowitdi01,West,2014,NBA,FALSE,Dallas Mavericks
Tony Parker,parketo01,West,2014,NBA,FALSE,Charlotte Hornets
Chris Paul,paulch01,West,2014,NBA,FALSE,Los Angeles Clippers
Carmelo Anthony,anthoca01,East,2013,NBA,FALSE,Los Angeles Lakers
Chris Bosh,boshch01,East,2013,NBA,FALSE,Miami Heat
Tyson Chandler,chandty01,East,2013,NBA,FALSE,Houston Rockets
Luol Deng,denglu01,East,2013,NBA,FALSE,Minnesota Timberwolves
Kevin Garnett,garneke01,East,2013,NBA,FALSE,Minnesota Timberwolves
Paul George,georgpa01,East,2013,NBA,FALSE,Philadelphia 76ers
Jrue Holiday,holidjr01,East,2013,NBA,FALSE,Portland Trail Blazers
Kyrie Irving,irvinky01,East,2013,NBA,FALSE,Dallas Mavericks
LeBron James,jamesle01,East,2013,NBA,FALSE,Los Angeles Lakers
Brook Lopez,lopezbr01,East,2013,NBA,TRUE,Los Angeles Clippers
Joakim Noah,noahjo01,East,2013,NBA,FALSE,Los Angeles Clippers
Rajon Rondo,rondora01,East,2013,NBA,TRUE,
Dwyane Wade,wadedw01,East,2013,NBA,FALSE,Miami Heat
LaMarcus Aldridge,aldrila01,West,2013,NBA,FALSE,Brooklyn Nets
Kobe Bryant,bryanko01,West,2013,NBA,FALSE,Los Angeles Lakers
Tim Duncan,duncati01,West,2013,NBA,FALSE,San Antonio Spurs
Kevin Durant,duranke01,West,2013,NBA,FALSE,Houston Rockets
Blake Griffin,griffbl01,West,2013,NBA,FALSE,Boston Celtics
James Harden,hardeja01,West,2013,NBA,FALSE,Los Angeles Clippers
Dwight Howard,howardw01,West,2013,NBA,FALSE,Los Angeles Lakers
